Nº de série,Valor de Compra,Data de Compra
PA144,35637.53,2024-02-19
PA145,74275.49,2025-04-29
PA146,64353.06,2025-04-29
PA147,62452.35,2025-04-29
PA148,43609.24,2025-04-29
PA149,64353.06,2025-04-29
PA150,74275.49,2025-04-29
PA152,74275.49,2025-04-29
PA153,74275.49,2025-04-29
PA154,74275.49,2025-04-29
PA155,74275.49,2025-04-29
PA156,64353.06,2025-04-29
PA157,62452.35,2025-04-29
PA158,91796.89,2025-04-29
PA159,53135.55,2025-05-12
PA160,74275.49,2025-04-29
PA161,62452.35,2025-04-29
PA162,62452.35,2025-05-14
PA163,208523.7,2025-06-16
PA164,208523.7,2025-06-16
PA165,254822.1,2025-06-16
PA166,305481.8,2025-06-16
PA167,254822.1,2025-06-16
PA168,596240.0,2025-08-21
PA169,412000.0,2025-08-21
PA170,412000.0,2025-08-21
PA171,255775.01,2025-08-20
PA172,255775.01,2025-08-20
PA173,255775.01,2025-08-20
PA174,255775.01,2025-08-20
PA175,255775.01,2025-08-20
PA176,255775.01,2025-08-20
PA177,255775.01,2025-08-20
PA178,255775.01,2025-08-20
PA179,251871.14,2025-09-26
PA180,251871.14,2025-09-26
PA181,251871.14,2025-09-26
PA182,404912.01,2025-09-29
PA183,251871.14,2025-09-26
PA184,251871.14,2025-09-26
PA185,251871.14,2025-09-26
PA186,251871.14,2025-09-26
PA187,251871.14,2025-09-26
PA188,404912.01,2025-09-26
PA189,296014.8,2026-01-23
PA190,296014.8,2026-01-23
PA191,296014.8,2026-01-23
PA192,296014.8,2026-01-23
PA193,404912.01,2026-01-15
PA194,251871.14,2026-01-15
PA195,251871.14,2026-01-15
PA196,251871.14,2026-01-15
PA197,251871.14,2026-01-15
PA198,251871.14,2026-01-15
PA199,251871.14,2026-01-15
PA200,251871.14,2026-01-15
PA201,404912.01,2026-01-15
PA202,251871.14,2026-01-15
PA203,251871.14,2026-01-15
PA204,562080.25,2026-02-03
PA205,562080.25,2026-02-03
PA206,501600.0,2026-06-03
PA207,284884.4,2026-06-16
PA208,277516.7,2026-06-16
PA209,552187.09,2026-07-14
PA210,309408.62,2026-07-27
PA211,309408.62,2026-07-27
RE001,325000.0,2024-06-04
RE002,325000.0,2024-06-04
RE003,325000.0,2024-06-04
RE004,325000.0,2024-05-27
RE005,325000.0,2024-05-27
RE006,325000.0,2024-05-27
RE007,325000.0,2024-05-27
RE008,325000.0,2024-05-27
RE009,325000.0,2024-05-27
RE011,190000.0,2025-04-30
